iter	Passed	Remaining
0	137	137437
1	138	69189
2	139	46363
3	140	34956
4	141	28136
5	142	23612
6	143	20338
7	144	17897
8	145	15994
9	146	14459
10	147	13221
11	147	12184
12	148	11307
13	149	10560
14	150	9893
15	151	9306
16	152	8803
17	153	8349
18	153	7945
19	154	7584
20	155	7259
21	156	6957
22	157	6684
23	158	6428
24	158	6196
25	160	5994
26	161	5804
27	162	5653
28	163	5488
29	164	5334
30	166	5197
31	167	5061
32	168	4930
33	169	4805
34	170	4690
35	171	4582
36	172	4479
37	172	4377
38	173	4279
39	174	4186
40	175	4098
41	176	4026
42	177	3950
43	178	3882
44	179	3815
45	180	3750
46	181	3687
47	182	3628
48	184	3574
49	184	3513
50	186	3463
51	187	3415
52	188	3366
53	189	3316
54	190	3268
55	190	3219
56	191	3171
57	192	3126
58	193	3086
59	194	3040
60	194	2998
61	195	2960
62	196	2920
63	197	2881
64	197	2842
65	198	2806
66	198	2770
67	199	2735
68	200	2701
69	200	2669
70	201	2639
71	202	2608
72	203	2578
73	203	2548
74	204	2519
75	204	2490
76	205	2462
77	205	2434
78	206	2407
79	207	2382
80	207	2357
81	208	2332
82	208	2305
83	209	2281
84	209	2260
85	210	2241
86	211	2219
87	212	2197
88	212	2176
89	213	2156
90	213	2137
91	214	2117
92	215	2098
93	215	2079
94	216	2060
95	216	2041
96	217	2023
97	217	2005
98	218	1987
99	218	1969
100	219	1955
101	220	1939
102	221	1924
103	221	1909
104	222	1894
105	222	1878
106	223	1864
107	223	1849
108	224	1835
109	225	1821
110	225	1808
111	226	1796
112	227	1783
113	227	1770
114	228	1759
115	229	1747
116	229	1734
117	230	1721
118	230	1709
119	231	1697
120	232	1685
121	232	1673
122	233	1661
123	233	1650
124	234	1640
125	234	1629
126	235	1618
127	236	1608
128	236	1598
129	237	1588
130	238	1579
131	238	1569
132	239	1559
133	239	1549
134	240	1540
135	240	1530
136	241	1521
137	242	1512
138	242	1503
139	243	1494
140	243	1485
141	244	1476
142	245	1468
143	245	1460
144	246	1452
145	246	1444
146	247	1436
147	248	1427
148	248	1419
149	249	1411
150	249	1403
151	250	1396
152	250	1389
153	251	1381
154	252	1374
155	252	1366
156	253	1359
157	253	1351
158	254	1344
159	254	1337
160	255	1329
161	255	1322
162	256	1315
163	256	1308
164	257	1302
165	257	1295
166	258	1289
167	258	1282
168	259	1276
169	260	1270
170	260	1264
171	261	1258
172	261	1251
173	262	1245
174	262	1239
175	263	1233
176	264	1227
177	264	1222
178	265	1216
179	265	1211
180	266	1205
181	266	1199
182	267	1194
183	267	1188
184	268	1182
185	269	1177
186	269	1172
187	270	1167
188	270	1161
189	271	1156
190	271	1152
191	272	1147
192	273	1142
193	273	1137
194	274	1132
195	274	1127
196	275	1122
197	276	1118
198	276	1114
199	277	1109
200	277	1104
201	278	1099
202	278	1094
203	279	1090
204	279	1085
205	280	1080
206	280	1076
207	281	1071
208	282	1067
209	282	1063
210	283	1059
211	283	1054
212	284	1050
213	284	1046
214	285	1041
215	285	1037
216	286	1033
217	286	1029
218	287	1025
219	288	1021
220	288	1017
221	289	1013
222	289	1009
223	290	1005
224	290	1001
225	291	997
226	291	993
227	292	990
228	292	986
229	293	982
230	294	979
231	294	975
232	295	972
233	295	968
234	296	964
235	296	960
236	297	957
237	297	953
238	298	949
239	298	946
240	299	942
241	299	939
242	300	936
243	301	932
244	301	929
245	302	925
246	302	922
247	303	919
248	303	915
249	304	912
250	304	909
251	305	905
252	305	902
253	306	899
254	306	896
255	307	893
256	307	890
257	308	886
258	308	883
259	309	881
260	310	878
261	310	875
262	311	871
263	311	868
264	312	866
265	312	863
266	313	861
267	314	858
268	314	855
269	315	852
270	315	849
271	316	847
272	317	844
273	317	841
274	318	839
275	319	836
276	319	834
277	320	831
278	320	829
279	321	826
280	321	823
281	322	820
282	322	818
283	323	815
284	323	812
285	324	809
286	325	807
287	325	805
288	326	802
289	326	800
290	327	797
291	328	795
292	328	792
293	329	790
294	329	788
295	330	785
296	330	783
297	331	780
298	332	778
299	332	776
300	333	773
301	333	771
302	334	768
303	334	766
304	335	763
305	335	761
306	336	759
307	336	757
308	337	755
309	338	752
310	338	750
311	339	748
312	339	745
313	340	743
314	340	741
315	341	739
316	341	736
317	342	734
318	343	732
319	343	730
320	344	728
321	344	726
322	345	723
323	345	721
324	346	719
325	346	717
326	347	715
327	347	712
328	348	710
329	348	708
330	349	706
331	350	704
332	350	702
333	351	700
334	351	698
335	352	696
336	352	694
337	353	691
338	353	689
339	354	687
340	354	685
341	355	683
342	356	682
343	356	680
344	357	678
345	358	676
346	358	674
347	359	672
348	359	670
349	360	669
350	360	667
351	361	665
352	361	663
353	362	661
354	363	659
355	363	658
356	364	656
357	364	654
358	365	652
359	365	650
360	366	648
361	366	646
362	367	644
363	367	642
364	368	641
365	369	640
366	370	638
367	370	636
368	371	634
369	372	633
370	372	631
371	373	630
372	373	628
373	374	626
374	375	625
375	375	623
376	376	622
377	376	620
378	377	618
379	378	616
380	378	614
381	379	613
382	379	611
383	380	609
384	380	607
385	381	606
386	381	604
387	382	603
388	382	601
389	383	599
390	383	597
391	384	596
392	384	594
393	385	592
394	386	591
395	386	589
396	387	587
397	387	586
398	388	584
399	388	583
400	389	581
401	389	579
402	390	578
403	390	576
404	391	575
405	391	573
406	392	571
407	392	570
